Date,Open,High,Low,Close,Volume
2017-04-17,187.609,188.788,187.416,188.779,1992707.3839826
2017-04-18,188.078,188.691,187.579,188.242,3075515.2720074
2017-04-19,188.759,189.104,187.658,187.857,2318363.6406682
2017-04-20,188.461,189.795,188.136,189.382,3119101.4852872
2017-04-21,189.323,189.372,188.413,188.836,2959433.1539868
2017-04-24,190.887,191.08,190.427,190.84,2698367.5719372
2017-04-25,191.48,192.297,191.378,192.009,1990817.1389378
2017-04-26,191.96,192.766,191.817,191.855,3219377.3158247
2017-04-27,192.154,192.297,191.529,192.019,1316591.1418969
2017-04-28,192.267,192.277,191.5,191.636,1434601.0594996
2017-05-01,192.125,192.478,191.684,192.095,1718041.8435173
2017-05-02,192.228,192.316,191.778,192.154,2935059.2160881
2017-05-03,191.788,192.125,191.328,191.98,1882027.9034274
2017-05-04,192.209,192.287,191.396,192.135,1641629.8350799
2017-05-05,192.468,192.901,192.095,192.901,1973213.4495716
2017-05-08,192.967,193.073,192.478,192.91,2537479.7613558
2017-05-09,193.112,193.264,192.374,192.668,1867286.7043498
2017-05-10,192.641,193.054,192.458,193.035,1217293.8156927
2017-05-11,192.632,192.796,191.655,192.632,2116877.2888865
2017-05-12,192.421,192.506,192.095,192.345,1205172.0455928
2017-05-15,192.746,193.484,192.707,193.302,1643717.2414456
2017-05-16,193.629,193.677,192.853,193.264,2789346.5681264
2017-05-17,191.645,192.045,189.718,189.841,3991541.3734554
2017-05-18,189.64,191.328,189.479,190.533,3302193.4160558
2017-05-19,191.011,192.393,190.954,191.739,2779127.5612505
2017-05-22,192.199,192.891,192.181,192.796,2121379.6606378
2017-05-23,193.122,193.322,192.766,193.169,1436077.1614524
2017-05-24,193.42,193.733,193.103,193.639,1659113.558563
2017-05-25,194.128,194.846,193.926,194.558,1784848.2358551
2017-05-26,194.415,194.683,194.338,194.567,1364332.3474578
2017-05-30,194.242,194.596,194.118,194.377,1724493.9216643
2017-05-31,194.664,194.693,193.658,194.338,2653489.8998465
2017-06-01,194.751,195.882,194.511,195.833,2405400.4536209
2017-06-02,195.912,196.659,195.614,196.466,2118991.8179736
2017-06-05,196.36,196.62,196.199,196.322,2088921.0654007
2017-06-06,195.803,196.332,195.644,195.746,1653405.2688912
2017-06-07,196.092,196.303,195.422,196.082,1515850.3009795
2017-06-08,196.199,196.65,195.681,196.15,1273138.4558609
2017-06-09,196.486,197.195,194.713,195.93,2415582.9491409
2017-06-12,195.654,195.912,195.048,195.843,2067707.967726
2017-06-13,196.36,196.87,196.063,196.81,2476130.2519262
2017-06-14,197.089,197.108,195.813,196.611,2151340.8791437
2017-06-15,195.365,196.303,195.048,196.199,2476558.9995606
2017-06-16,196.37,196.428,195.431,196.246,1829271.0807716
2017-06-19,197.022,197.904,196.919,197.839,1635093.259224
2017-06-20,197.56,197.56,196.533,196.572,1558209.7327069
2017-06-21,196.87,197.013,196.063,196.494,1622124.4256714
